distinct,capital,latitude,longitude
Балашиха,Балашиха,55.797007,37.938118
Богородский городской округ,Ногинск,55.854476,38.441866
Лосино-Петровский,Лосино-Петровский,55.872183,38.200992
Щёлково,Щелково,55.92022,37.991532
городской округ Щёлково,Щелково,55.92022,37.991532
городской округ Лосино-Петровский,Лосино-Петровский,55.872183,38.200992
Сергиево-Посадский городской округ,Сергиев Посад,56.315311,38.135972
городской округ Пушкинский,Пушкино,56.011318,37.847164
Пушкино,Пушкино,56.011318,37.847164
Сергиев Посад,Сергиев Посад,56.315311,38.135972
Наро-Фоминский городской округ,Наро-Фоминск,55.383838,36.72285
Одинцовский городской округ,Одинцово,55.679138,37.263663
Рузский муниципальный округ,Руза,55.703657,36.192242
городской округ Домодедово,Домодедово,55.437174,37.768004
Домодедово,Домодедово,55.437174,37.768004
Подольск,Подольск,55.431136,37.544997
Электросталь,Электросталь,55.78445,38.444858
Павлово-Посадский городской округ,Павловский Посад,55.780719,38.650815
Черноголовка,Черноголовка,56.009849,38.378248
Фрязино,Фрязино,55.961339,38.042808
Павловский Посад,Павловский Посад,55.780719,38.650815
Руза,Руза,55.703657,36.192242
Можайск,Можайск,55.506954,36.016972
Мытищи,Мытищи,55.909968,37.736743
Люберцы,Люберцы,55.676748,37.893328
городской округ Люберцы,Люберцы,55.676748,37.893328
Реутов,Реутов,55.760515,37.85515
Орехово-Зуевский городской округ,Орехово-Зуево,55.805842,38.981601
Орехово-Зуево,Орехово-Зуево,55.805842,38.981601
Одинцово,Одинцово,55.679138,37.263663
Краснознаменск,Краснознаменск,55.600506,37.042489
Раменский муниципальный округ,Раменское,55.567586,38.225004
Жуковский,Жуковский,55.59748,38.119811
Раменское,Раменское,55.567586,38.225004
городской округ Балашиха,Балашиха,55.797007,37.938118
Ленинский городской округ,Видное,55.557037,37.70876
Краснопахорский район,Красная Пахра,55.430736,37.276181
район Вороново,Вороново,55.320888,37.158425
Филимонковский район,Московский,55.602159,37.346528
район Троицк,Троицк,55.484847,37.305569
Наро-Фоминск,Наро-Фоминск,55.383838,36.72285
район Бекасово,Бекасово,55.430585,36.865013
Можайский муниципальный округ,Можайск,55.506954,36.016972
Волоколамский муниципальный округ,Волоколамск,56.035869,35.955222
муниципальный округ Истра,Истра,55.91466,36.859017
Чехов,Чехов,55.14235,37.454357
Дмитров,Дмитров,56.342905,37.517608
Дмитровский муниципальный округ,Дмитров,56.342905,37.517608
Клин,Клин,56.331588,36.728725
Талдом,Талдом,56.730924,37.527938
Лыткарино,Лыткарино,55.579302,37.908986
Красногорск,Красногорск,55.820369,37.319484
городской округ Красногорск,Красногорск,55.820369,37.319484
Химки,Химки,55.889361,37.444853
Щербинка,Щербинка,55.501315,37.564554
Королёв,Королёв,55.918953,37.815211
Истра,Истра,55.91466,36.859017
Серпухов,Серпухов,54.913681,37.416601
городской округ Серпухов,Серпухов,54.913681,37.416601
муниципальный округ Чехов,Чехов,55.14235,37.454357
городской округ Солнечногорск,Солнечногорск,56.185107,36.977631
Зеленоград,Зеленоград,55.991893,37.21439
городской округ Химки,Химки,55.889361,37.444853
район Внуково,Внуково,55.612273,37.299542
городской округ Подольск,Подольск,55.431136,37.544997
Бронницы,Бронницы,55.42565,38.264243
городской округ Воскресенск,Воскресенск,55.322978,38.673362
Воскресенск,Воскресенск,55.322978,38.673362
городской округ Коломна,Коломна,55.095276,38.765574
Луховицы,Луховицы,54.96515,39.02605
Кашира,Кашира,54.834589,38.15154
Коломна,Коломна,55.095276,38.765574
Лобня,Лобня,56.01242,37.47492
городской округ Мытищи,Мытищи,55.909968,37.736743
Талдомский городской округ,Талдом,56.730924,37.527938
район Щербинка,Щербинка,55.501315,37.564554
Долгопрудный,Долгопрудный,55.933302,37.51423
Егорьевск,Егорьевск,55.383055,39.035842
Ступино,Ступино,54.88628,38.078237
Солнечногорск,Солнечногорск,56.185107,36.977631
Волоколамск,Волоколамск,56.035869,35.955222
Шатура,Шатура,55.577577,39.544575
городской округ Ступино,Ступино,54.88628,38.078237
Зарайск,Зарайск,54.758475,38.881718
посёлок городского типа Серебряные Пруды,Серебряные Пруды,54.474303,38.727863
городской округ Клин,Клин,56.331588,36.728725
Дубна,Дубна,56.73639,37.16227
посёлок городского типа Лотошино,Лотошино,56.227315,35.639419
муниципальный округ Луховицы,Луховицы,54.96515,39.02605
муниципальный округ Шаховская,Шаховская,56.031171,35.510394
муниципальный округ Шатура,Шатура,55.577577,39.544575
